Tabela,Hash,TamanhoTabela,NumRegistros,TempoInsercao,Colisoes,GapMin,GapMax,GapMedio,BuscaTempo,Encontrados,MaiorLista
Encadeamento,Modulo,150000,100000,7,33694,0,0,0,2,100000,7
Linear,LinearProbing,150000,100000,5,101200,1,20,2,5,100000,0
Duplo,DoubleHashing,150000,100000,6,72069,1,15,1,6,100000,0
Encadeamento,Modulo,1500000,1000000,32,333187,0,0,0,57,1000000,7
Linear,LinearProbing,1500000,1000000,50,998593,1,19,2,95,1000000,0
Duplo,DoubleHashing,1500000,1000000,69,714798,1,19,1,79,1000000,0
Encadeamento,Modulo,15000000,10000000,860,3333916,0,0,0,418,10000000,9
Linear,LinearProbing,15000000,10000000,348,9991946,1,21,2,461,10000000,0
Duplo,DoubleHashing,15000000,10000000,302,7153340,1,19,1,414,10000000,0
Encadeamento,Modulo,150000,100000,1,33565,0,0,0,1,100000,7
Linear,LinearProbing,150000,100000,1,101350,1,19,2,2,100000,0
Duplo,DoubleHashing,150000,100000,2,72099,1,18,1,1,100000,0
Encadeamento,Modulo,1500000,1000000,81,333526,0,0,0,18,1000000,9
Linear,LinearProbing,1500000,1000000,18,994330,1,21,2,28,1000000,0
Duplo,DoubleHashing,1500000,1000000,16,714110,1,18,1,25,1000000,0
Encadeamento,Modulo,15000000,10000000,612,3330142,0,0,0,385,10000000,8
Linear,LinearProbing,15000000,10000000,383,10003355,1,26,2,463,10000000,0
Duplo,DoubleHashing,15000000,10000000,351,7159108,1,22,1,419,10000000,0
Encadeamento,Modulo,150000,100000,2,33070,0,0,0,1,100000,6
Linear,LinearProbing,150000,100000,1,99108,1,14,2,2,100000,0
Duplo,DoubleHashing,150000,100000,2,71223,1,13,1,1,100000,0
Encadeamento,Modulo,1500000,1000000,21,334112,0,0,0,20,1000000,8
Linear,LinearProbing,1500000,1000000,21,1001298,1,19,2,22,1000000,0
Duplo,DoubleHashing,1500000,1000000,23,716327,1,17,1,23,1000000,0
Encadeamento,Modulo,15000000,10000000,456,3335250,0,0,0,361,10000000,9
Linear,LinearProbing,15000000,10000000,507,10013450,1,21,2,499,10000000,0
Duplo,DoubleHashing,15000000,10000000,337,7161277,1,19,1,436,10000000,0
